.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
2CLCmesc_3_S5_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
2CLCmesc_3_S5_2	1	1	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
2CLCmesc_4_RR_S12_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	0.5	0.25
2CLCmesc_4_RR_S12_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
2CLCmesc_4_S6_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.5	0.5
2CLCmesc_4_S6_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
2CLCmesc_5_RR_S13_1	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
2CLCmesc_5_RR_S13_2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	0.25
2CLCmesc_5_S7_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	0.5	1
2CLCmesc_5_S7_2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	0.25
2CLCmesc_6_RR_S14_1	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.25	0.25
2CLCmesc_6_RR_S14_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
2CLCmesc_6_S8_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.25	0.25
2CLCmesc_6_S8_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
combined_003_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	1	0.25
combined_003_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	0.25
combined_003_3	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.5
combined_003_4	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
combined_004_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.5
combined_004_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	0.25
combined_004_3	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	1
combined_004_4	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
combined_1_1	1	0.25	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
combined_1_2	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
combined_1_3	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
combined_1_4	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
combined_2_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.5	0.25
combined_2_2	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
combined_2_3	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
combined_2_4	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
combined_3_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
combined_3_2	1	1	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
combined_3_3	1	0.5	0.25	0.5	0.25	1	1	0.5	1	1	0.5
combined_3_4	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	0.25
combined_4_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.5	0.5
combined_4_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
combined_4_3	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	0.5	0.25
combined_4_4	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
combined_5_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	0.5	1
combined_5_2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	0.25
combined_5_3	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
combined_5_4	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	0.25
combined_6_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.25	0.25
combined_6_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
combined_6_3	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.25	0.25
combined_6_4	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	0.25
