Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
24L007784_S6_L001	7227015.0	150.0	4723365.0	65.36	143.08	1042724.0	983557.0	992894.0	12547.0	1233.0	36050.0	0.82	0.08	3.28	0.07	1.31	542674.0	7.51	175223.0	2.42	0.0	24.28	0.43	0	1754678	31075	72.87	5266039.0
24L007784_S6_L002	7338590.0	150.0	4790262.0	65.27	143.09	1056209.0	996780.0	1006651.0	12498.0	1240.0	35820.0	0.92	0.08	3.26	0.07	1.31	552866.0	7.53	167008.0	2.28	0.0	24.51	0.4	0	1799093	29361	72.8	5343128.0
2CLCmesc_0-0-3_S15	22552724.0	200.0	7740266.0	34.32	183.35	2546362.0	2398300.0	2423535.0	37988.0	2948.0	81891.0	0.61	0.07	3.12	0.05	1.5	1162856.0	5.16	72317.0	0.32	0.0	58.91	1.29	0	13286343	290942	39.480000000000004	8903122.0
2CLCmesc_0-0-4_S16	17174775.0	200.0	7408606.0	43.14	185.54	2518617.0	2353634.0	2384688.0	36237.0	2944.0	94748.0	0.59	0.08	2.96	0.06	1.63	1332810.0	7.76	71536.0	0.42	0.0	48.0	0.69	0	8243325	118498	50.9	8741416.0
2CLCmesc_003_RR_S3	11246918.0	200.0	5253381.0	46.71	184.55	466213.0	382467.0	394143.0	7448.0	709.0	63913.0	0.44	0.03	1.83	0.14	2.0	2593520.0	23.06	7152.0	0.06	0.0	30.06	0.11	0	3380495	12370	69.77	7846901.0
2CLCmesc_004_RR_S4	11868791.0	200.0	6341690.0	53.43	187.36	568109.0	461976.0	478507.0	8679.0	917.0	80006.0	0.43	0.03	1.9	0.14	2.13	2892763.0	24.37	13873.0	0.12	0.0	21.9	0.18	0	2599103	21362	77.8	9234453.0
2CLCmesc_011_RR_S18	12620294.0	200.0	6500597.0	51.51	184.4	603694.0	500630.0	518606.0	7805.0	1145.0	76138.0	0.41	0.02	1.99	0.12	2.1	2816163.0	22.31	15914.0	0.13	0.0	25.76	0.29	0	3251021	36599	73.82	9316760.0
2CLCmesc_016_RR_S17	9947783.0	200.0	4285780.0	43.08	185.2	320754.0	260176.0	272037.0	4056.0	574.0	44087.0	0.4	0.02	1.83	0.13	2.18	1959759.0	19.7	11608.0	0.12	0.0	36.8	0.3	0	3660793	29843	62.78	6245539.0
2CLCmesc_1_RR_S9	3464967.0	200.0	1684952.0	48.63	183.54	113504.0	77200.0	83276.0	2610.0	243.0	27375.0	0.57	0.07	1.34	0.27	2.16	661429.0	19.09	4098.0	0.12	0.0	31.83	0.33	0	1103052	11436	67.72	2346381.0
2CLCmesc_1_S1	13879748.0	200.0	2543827.0	18.33	183.38	799601.0	739743.0	751396.0	10461.0	935.0	36809.0	0.63	0.08	3.18	0.05	1.54	344413.0	2.48	33155.0	0.24	0.0	78.4	0.55	0	10882012	76341	20.81	2888240.0
2CLCmesc_2_RR_S10	8341701.0	200.0	3793691.0	45.48	182.15	237372.0	164766.0	176937.0	5879.0	582.0	53974.0	0.57	0.08	1.27	0.29	2.19	1544817.0	18.52	8836.0	0.11	0.0	35.6	0.3	0	2969335	25022	64.0	5338508.0
2CLCmesc_2_S2	11291236.0	200.0	1542644.0	13.66	180.73	516559.0	474332.0	482847.0	7625.0	618.0	25469.0	0.65	0.08	3.29	0.04	1.46	293346.0	2.6	22290.0	0.2	0.0	83.01	0.53	0	9373111	59845	16.26	1835990.0
2CLCmesc_3_RR_S11	13206462.0	200.0	7214440.0	54.63	185.76	1129966.0	1015413.0	1036496.0	15257.0	1032.0	77181.0	0.62	0.05	1.48	0.16	2.06	2467639.0	18.69	32671.0	0.25	0.0	25.92	0.52	0	3423040	68672	73.32000000000001	9682079.0
2CLCmesc_3_S5	20551680.0	200.0	10964617.0	53.35	186.26	3704232.0	3502401.0	3538635.0	42023.0	2829.0	120745.0	0.68	0.05	2.4	0.05	1.52	1573072.0	7.65	111995.0	0.54	0.0	37.45	1.0	0	7696482	205514	61.0	12537689.0
2CLCmesc_4_RR_S12	12019847.0	200.0	4555606.0	37.9	185.66	1016209.0	941391.0	954563.0	11744.0	719.0	49183.0	0.69	0.04	1.7	0.13	1.9	1341558.0	11.16	23945.0	0.2	0.0	49.46	1.28	0	5944887	153851	49.06	5897164.0
2CLCmesc_4_S6	15919877.0	200.0	8152638.0	51.21	185.04	2652371.0	2507288.0	2535203.0	27131.0	1486.0	88551.0	0.77	0.04	2.25	0.05	1.53	1293257.0	8.12	75058.0	0.47	0.0	36.91	3.28	0	5876693	522231	59.33	9445895.0
2CLCmesc_5_RR_S13	6707118.0	200.0	4036446.0	60.18	187.62	1121521.0	1055775.0	1066561.0	12770.0	722.0	41468.0	0.67	0.05	1.7	0.11	1.94	1030711.0	15.37	25107.0	0.37	0.0	23.02	1.06	0	1543768	71086	75.55	5067157.0
2CLCmesc_5_S7	16940440.0	200.0	11245171.0	66.38	186.9	4044192.0	3847625.0	3884745.0	41517.0	2360.0	115570.0	0.73	0.04	2.25	0.05	1.51	1725797.0	10.19	99016.0	0.58	0.0	21.1	1.74	0	3575596	294860	76.57	12970968.0
2CLCmesc_6_RR_S14	5396795.0	200.0	1512770.0	28.03	184.2	350812.0	325870.0	330601.0	4105.0	201.0	15905.0	0.92	0.04	1.75	0.09	1.89	440680.0	8.17	19564.0	0.36	0.0	54.4	9.04	0	2935903	487878	36.2	1953450.0
2CLCmesc_6_S8	9310927.0	200.0	3198369.0	34.35	185.28	992045.0	936755.0	948869.0	9965.0	521.0	32690.0	0.86	0.04	2.12	0.05	1.54	626744.0	6.73	42077.0	0.45	0.0	50.96	7.5	0	4745344	698393	41.08	3825113.0
combined_003	33799642.0	200.0	12993647.0	38.44	183.83	3012575.0	2780767.0	2817678.0	45436.0	3657.0	145804.0	0.54	0.05	2.69	0.08	1.8	3756376.0	11.11	79469.0	0.24	0.0	49.31	0.9	0	16665965	304185	49.55	16750023.0
combined_004	29043566.0	200.0	13750296.0	47.34	186.38	3086726.0	2815610.0	2863195.0	44916.0	3861.0	174754.0	0.52	0.06	2.63	0.1	1.94	4225573.0	14.55	85409.0	0.29	0.0	37.33	0.48	0	10842867	139421	61.89	17975869.0
combined_1	17344715.0	200.0	4228779.0	24.38	183.44	913105.0	816943.0	834672.0	13071.0	1178.0	64184.0	0.61	0.08	2.09	0.14	1.99	1005842.0	5.8	37253.0	0.21	0.0	69.1	0.51	0	11984389	88452	30.18	5234621.0
combined_2	19632937.0	200.0	5336335.0	27.18	181.74	753931.0	639098.0	659784.0	13504.0	1200.0	79443.0	0.59	0.08	1.53	0.22	2.13	1838163.0	9.36	31126.0	0.16	0.0	62.87	0.43	0	12342894	84419	36.54	7174498.0
combined_3	33758142.0	200.0	18179057.0	53.85	186.06	4834198.0	4517814.0	4575131.0	57280.0	3861.0	197926.0	0.66	0.05	1.9	0.09	1.85	4040711.0	11.97	144666.0	0.43	0.0	32.94	0.81	0	11120259	273449	65.82000000000001	22219768.0
combined_4	27939724.0	200.0	12708244.0	45.48	185.27	3668580.0	3448679.0	3489766.0	38875.0	2205.0	137734.0	0.74	0.04	2.01	0.08	1.73	2634815.0	9.43	99003.0	0.35	0.0	42.31	2.42	0	11821509	676153	54.91	15343059.0
combined_5	23647558.0	200.0	15281617.0	64.62	187.09	5165713.0	4903400.0	4951306.0	54287.0	3082.0	157038.0	0.71	0.04	2.06	0.06	1.68	2756508.0	11.66	124123.0	0.52	0.0	21.65	1.55	0	5118835	366475	76.28	18038125.0
combined_6	14707722.0	200.0	4711139.0	32.03	184.93	1342857.0	1262625.0	1279470.0	14070.0	722.0	48595.0	0.88	0.04	1.98	0.06	1.69	1067424.0	7.26	61641.0	0.42	0.0	52.22	8.07	0	7680574	1186944	39.29	5778563.0
