Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
24L007784_S6_L001	7.227015	74.21	63.79	0.752744	150.0	143.48	1.0434269999999999	0.9835569999999999	0.992884	0.012659	0.001233	0.036650999999999996	0.78	0.09	3.19	0.05	1.52
24L007784_S6_L002	7.33859	74.15	63.77	0.76152	150.0	143.47	1.057196	0.996779	1.006705	0.012648	0.001237	0.036606	0.87	0.09	3.17	0.05	1.51
2CLCmesc_0-0-3_S15	22.552723999999998	39.81	34.13	1.281512	200.0	183.35	2.550075	2.3983	2.423682	0.038138	0.0029449999999999997	0.08531	0.58	0.07	3.08	0.04	1.53
2CLCmesc_0-0-4_S16	17.174775	51.01	41.79	1.583351	200.0	185.8	2.524162	2.3536379999999997	2.384718	0.036367	0.002944	0.100133	0.56	0.08	3.11	0.05	1.59
2CLCmesc_003_RR_S3	11.246917999999999	69.92	21.12	5.488206	200.0	185.16	0.443527	0.382467	0.391897	0.005763	0.000534	0.045333	0.53	0.04	2.56	0.26	2.15
2CLCmesc_004_RR_S4	11.868791	77.88	23.71	6.429753	200.0	187.64	0.538268	0.461976	0.475344	0.0070149999999999995	0.000701	0.055208	0.53	0.04	2.39	0.29	2.3
2CLCmesc_011_RR_S18	12.620294	73.9	23.55	6.3543899999999995	200.0	183.23	0.588023	0.50063	0.516587	0.006795	0.000843	0.063798	0.55	0.03	2.27	0.24	2.27
2CLCmesc_016_RR_S17	9.947783	62.83	17.96	4.463175	200.0	183.72	0.31196799999999997	0.26017599999999996	0.270708	0.003524	0.00045599999999999997	0.03728	0.55	0.03	2.16	0.29	2.34
2CLCmesc_1_RR_S9	3.4649669999999997	68.05	17.76	1.7424849999999998	200.0	184.69	0.102078	0.07719999999999999	0.081716	0.001651	0.000147	0.018564	0.72	0.06	3.28	0.29	2.19
2CLCmesc_1_S1	13.879748	21.04	18.32	0.377365	200.0	183.4	0.800717	0.7397429999999999	0.751401	0.010535	0.000935	0.037846	0.6	0.08	3.12	0.05	1.59
2CLCmesc_2_RR_S10	8.341701	64.28	16.08	4.020856	200.0	182.74	0.21756299999999998	0.164766	0.17432999999999998	0.003957	0.000359	0.038917	0.72	0.06	3.32	0.3	2.25
2CLCmesc_2_S2	11.291236	16.38	13.6	0.313457	200.0	180.77	0.517282	0.474334	0.482772	0.00765	0.00062	0.02624	0.62	0.08	3.23	0.04	1.51
2CLCmesc_3_RR_S11	13.206462	73.48	32.14	5.460171	200.0	186.08	1.115575	1.015413	1.035123	0.013491999999999999	0.000918	0.066042	0.71	0.04	2.61	0.15	2.1
2CLCmesc_3_S5	20.551679999999998	61.02	53.28	1.5917169999999998	200.0	186.25	3.7042569999999997	3.502402	3.538559	0.042018	0.002827	0.12085299999999999	0.68	0.05	2.41	0.05	1.53
2CLCmesc_4_RR_S12	12.019846999999999	49.03	27.62	2.572985	200.0	186.2	1.0114239999999999	0.9413889999999999	0.954105	0.011115	0.000669	0.045535	0.74	0.04	2.48	0.11	1.91
2CLCmesc_4_S6	15.919877	59.169999999999995	50.98	1.303424	200.0	185.05	2.652266	2.507289	2.535132	0.027125999999999997	0.001486	0.08852199999999999	0.76	0.04	2.25	0.05	1.54
2CLCmesc_5_RR_S13	6.7071179999999995	75.53	46.87	1.9220929999999998	200.0	187.99	1.117618	1.055775	1.066228	0.012138999999999999	0.000687	0.038564	0.71	0.04	2.43	0.09	1.89
2CLCmesc_5_S7	16.94044	76.43	66.22	1.729814	200.0	186.9	4.0441199999999995	3.847625	3.8846909999999997	0.041514999999999996	0.002359	0.11555499999999999	0.73	0.04	2.25	0.05	1.51
2CLCmesc_6_RR_S14	5.396795	36.08	23.21	0.694657	200.0	184.54	0.349801	0.32587	0.330524	0.003925	0.000196	0.015156	0.99	0.03	2.37	0.07	1.83
2CLCmesc_6_S8	9.310927	40.86	34.05	0.63451	200.0	185.3	0.9919509999999999	0.9367559999999999	0.948851	0.009956999999999999	0.00052	0.032623	0.86	0.04	2.13	0.05	1.54
combined_003	33.799642	49.83	29.8	6.769718	200.0	183.78	2.9936019999999997	2.780767	2.815579	0.043900999999999996	0.003479	0.13064299999999998	0.57	0.07	2.99	0.09	1.89
combined_004	29.043566	61.989999999999995	34.4	8.013104	200.0	186.32	3.06243	2.815614	2.8600619999999997	0.043382	0.003645	0.15534099999999998	0.55	0.07	2.96	0.12	2.04
combined_1	17.344715	30.42	18.2	2.11985	200.0	183.65	0.902795	0.816943	0.833117	0.012185999999999999	0.0010819999999999998	0.056409999999999995	0.63	0.08	3.14	0.09	1.9
combined_2	19.632937	36.73	14.65	4.334313	200.0	181.68	0.734845	0.6391	0.657102	0.011607	0.000979	0.06515699999999999	0.67	0.07	3.26	0.16	2.11
combined_3	33.758142	65.9	45.01	7.051888	200.0	186.2	4.819832	4.517815	4.573682	0.05551	0.0037449999999999996	0.18689499999999998	0.69	0.05	2.46	0.08	1.79
combined_4	27.939724	54.8	40.93	3.8764089999999998	200.0	185.39	3.66369	3.4486779999999997	3.4892369999999997	0.038241	0.002155	0.13405699999999998	0.76	0.04	2.31	0.07	1.69
combined_5	23.647558	76.17	60.73	3.651907	200.0	187.14	5.161738	4.9033999999999995	4.950919	0.053654	0.0030459999999999997	0.154119	0.72	0.04	2.28	0.06	1.62
combined_6	14.707721999999999	39.11	30.07	1.329167	200.0	185.09	1.3417519999999998	1.262626	1.279375	0.013881999999999999	0.000716	0.047778999999999995	0.9	0.04	2.19	0.05	1.64
